Name,Party,State,Ongoing Investigations,Criminal Charges,Total
Rôney Nemer,PP,DF,3,1,4
Rossoni,PSDB,PR,5,,5
Rubens Otoni,PT,GO,1,,1
Sabino Castelo Branco,PR,AM,3,,3
Salvador Zimbaldi,PSB,SP,1,,1
Sandes Junior,PP,GO,1,,1
Sérgio Vidigal,PDT,ES,2,,2
Shéridan,PSDB,RR,2,,2
Silas Câmara,PRB,AM,1,1,2
Subtenente Gonzaga,PDT,MG,,1,1
Takayama,PSC,PR,1,1,2
Toninho Pinheiro,PP,MG,2,,2
Valtenir Pereira,MDB,MT,1,,1
Vander Loubet,PT,MS,2,1,3
Veneziano Vital Do Rego,PSB,PB,2,,2
Vicente Candido,PT,SP,2,,2
Vicentinho,PT,SP,1,,1
Victor Mendes,MDB,MA,1,,1
Vinícius Gurgel,PR,CE,2,,2
Waldir Maranhão,PSDB,SE,1,,1
Walney Rocha,PEN,MT,1,,1
Washington Reis,PSDB,MG,,1,1
Weverton Rocha,PDT,RS,1,,1
Wladimir Costa,SD,PA,2,2,4
Yeda Crusius,PSDB,RS,1,,1
Zeca Cavalcanti,PTB,RS,10,,10
Zeca Dirceu,PT,PR,1,,1
Zeca Do Pt,PT,SP,9,2,11
